0,lang
"Asalin hoton, NYSC",hausa
"Masu yi wa ƙasa hidima a Najeriya na ci gaba da darawa har kunne, tun bayan da gwamnatin ƙasar ta sanar da yi musu ƙari a kudin alawus ɗinsu.",hausa
"A ranar Laraba ne gwamnatin ƙasar ta sanar da yi wa masu yi wa ƙasa hidimar ƙari a alawus ɗinsu zuwa naira 77,000.",hausa
"Wata sanarwa da kakakin hukumar NYSC, Caroline Embu ta fitar, ta ce ƙarin zai soma aiki daga watan Yulin da ya gabata.",hausa
Sanawar ta ƙara da cewa an yi ƙarin alawus ɗin ne saboda ƙarin mafi ƙanƙantar albashi da gwamnatin Najeriya ta yi.,hausa
"Matakin ya yi wa masu yi wa ƙasa hidimar daɗi, kasancewar da ma sun jima suna kokawa kan buƙatar ƙara musu kuɗin alawus ɗin.",hausa
"A baya dai gwamnatin ƙasar kan biya masu yi wa ƙasar hidima naira 33,000 a matsayin kuɗin alawus na wata-wata, kuɗin da matasan ke cewa ba ya wadatar da su gudanar da harkokinsu la'akari da yanayin matsayin tattalin arziki da hauhawar farashin kayayyaki da ake fuskanta a ƙasar.",hausa
"Tun bayan fitar da labarin ƙarin kuɗin alawus ɗin, batun ya zama cikin abubuwan da aka fi tafka muhawara a kansa a shafukan sada zumunta.",hausa
Masu yi wa ƙasa hidimar sun yi ta bayyana mabambantan ra'ayoyi kan batun. Ga kuwa wasu daga cikin su da muka tattaro.,hausa
"Wannan labari ne na dauke da bayanai da Twitter suka bayar.  Muna neman amincewarku kafin mu dora muka, saboda nuna iya dauke da  wasu bayanai da aka iya adanawa. Watakila kana za ka so ka karanta Twitter da tsarin bayanan da za a adana da da tsarin sirri kafin ka amince. Idan kana son ganin wannan bayani ka zabi ‘amince sannan ka ci gaba’.",hausa
"Karshen labarin da aka sa a Twitter, 1",hausa
Babu karin bayanai,hausa
Sanata Shehu Sani tsohon ɗan majalisar dattawan Najeriya yabawa ya yi da sabon ƙarin da aka yi wa masu yi wa ƙasar hidima.,hausa
"''Ƙarin kuɗin alawus da aka yi wa masu yi wa ƙasa hidima zuwa naira 77,000, abin a yaba ne. Amma ya kamata a ƙara wa mata ya kai naira 100,000, duba da yadda suke shan wahala''.",hausa
"Asalin hoton, Facebook",hausa
Zahraddin Dawuud fatan alkairi ya yi wa sabbin masu yi wa ƙasa hidima da waɗanda ke dab da soma hidima wa ƙasar.,hausa
Daga nan kuma ya suburbuɗo taken shirin na NYSC.,hausa
"Shi kuwa Muhammad Kabir, shawara ya bai wa matasan da su yi amfani da sabon ƙarin kuɗin alawus ɗin ta hanyar da ta dace wajen samun sana'ar dogaro da kai.",hausa
"Asalin hoton, Facebook",hausa
"''Na kasance wanda ya yi wa ƙasa hidima a shekarun baya, kuma har yanzu ina amfana da kasuwancin da na kafa ta hanyar kuɗin alawus ɗin da na tara. Ku yi amfani da ɗan abin da kuka samu wajen dogaro da kanku. Da dama daga cikin waɗanda suka gama NYSC kan ciji yatsa, saboda rashin amfani da kuɗin da suka samu a lokacin wajen fara wata sana'ar dogaro da kai'', in ji shi.",hausa
"Shi ma Auwal Sadisu, mai amfani da shafin na Facebook, makamanciyar wannan shawara ya bai wa masu yi wa ƙasa hidimar.",hausa
"Asalin hoton, Facebook",hausa
"Ya ku masu yi wa ƙasa hidima,",hausa
"''A lokacin da na yi wa ƙasa hidima a 2016, na riƙa ajiye naira 10,000 daga cikin naira 19,800 da ake ba mu a lokacin. Daga nan na tara jarin da na fara sana'a a da shi''.",hausa
"''Wannan 77,000 kuɗi masu gwaɓi, idan kana da fikirar sarrafa kuɗi za ka iya tara yadda ka ga dama''.",hausa
"''Ka dai kawai ka kyautata niyya'', kamar yadda ya rubuta.",hausa
"Asalin hoton, Facebook",hausa
"Wata mai amfani da kafar Facebook, wadda da alama ke cikin shirin, mai suna Murjanatu Diri ta ce kuɗin aure za ta fara tarawa da sabon alawus ɗin.",hausa
"''Allah ya albarkaci Najeriya, ya kuma albarkaci shirin yi wa ƙasa hidima na NYSC'', kamar yadda ta rubuta a shafin.",hausa
"Asalin hoton, Facebook",hausa
"Wannan labari ne na dauke da bayanai da Twitter suka bayar.  Muna neman amincewarku kafin mu dora muka, saboda nuna iya dauke da  wasu bayanai da aka iya adanawa. Watakila kana za ka so ka karanta Twitter da tsarin bayanan da za a adana da da tsarin sirri kafin ka amince. Idan kana son ganin wannan bayani ka zabi ‘amince sannan ka ci gaba’.",hausa
"Karshen labarin da aka sa a Twitter, 2",hausa
Babu karin bayanai,hausa
"Shi kuwa wani da ke amfani da shafin X, tsokaci ya yi a ƙarƙashin sanarwar ƙarin da NYSC ta yi, inda yake tuna ninki biyu da kuɗin alawus ɗin da ake biya na wata biyun ƙarshe na shirin.",hausa
"inda ya ce ''wannan ninki biyun da ake biya na alawus wato naira 77,000 + 77,000 a ƙarshen hidimar''.",hausa
"To sai dai yayin da wasu ke yaba yawan kuɗin, wasu gani suke har yanzu kuɗin bai kai yadda ake buƙata ba.",hausa
Kamar yadda wasu masu amfani da shafin suka bayyana ra'ayinsu.,hausa
"Wannan labari ne na dauke da bayanai da Twitter suka bayar.  Muna neman amincewarku kafin mu dora muka, saboda nuna iya dauke da  wasu bayanai da aka iya adanawa. Watakila kana za ka so ka karanta Twitter da tsarin bayanan da za a adana da da tsarin sirri kafin ka amince. Idan kana son ganin wannan bayani ka zabi ‘amince sannan ka ci gaba’.",hausa
"Karshen labarin da aka sa a Twitter, 3",hausa
Babu karin bayanai,hausa
"Wani mai suna OmoGB@I, da ke amfani da shafin X, na ganin cewa kuɗin ba komai ba ne idan aka yi la'akari da halin matsin rayuwa da ake ciki.",hausa
"''Wannan naira 77,000 ɗin da ake gani a matsayin wasu manyan kuɗi, amma idan aka yi la'akari da halin da Najeriya ke ciki, wannan ba komai ba ne''.",hausa
"Shirin yi wa ƙasar hidima, da aka fi sani da NYSC, shiri ne da gwamnatin Najeriya ta ɓullo da shi musamman ga matasan da suka kammala digiri na farko ko babbar diploma kuma ba su zarta shekara 30 ba, na shekara guda, a wani mataki na haɗin kan ƙasar, bayan yaƙin basasar da ƙasar ta fuskanta tsakanin 1967 zuwa 1970.",hausa
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa
'Kuɗin aure zan tara da sabon alawus ɗin NYSC',hausa
Putin ya fitar da sabon sharaɗin amfani da makaman nukiliya,hausa
Ambaliyar ruwa a Turai alama ce ta ɓarnar da sauyin yanayi zai haifar nan gaba,hausa
Me ya sa Najeriya ke son a yafe mata bashin da ake bin ta?,hausa
Shin rikicin siyasa na ƙara ta’azzara matsalar tsaro ne a Zamfara?,hausa
Annobar kwalara ta kashe mutum fiye da 400 a Sudan mai fama da yaƙi,hausa
Hare-haren ƴanbindiga a Sahel sun jefa shugabannin soji cikin zulumi,hausa
Ambaliya na haifar da cikas a harkokin koyo da koyarwar makarantu a Jigawa,hausa
Abin da ya sa nake so gwamnatin Najeriya ta daina biyan tallafin man fetur - Ɗangote,hausa
Har yanzu ambaliyar Maiduguri na hana ni barci - Ma'aikacin BBC,hausa
"Asalin hoton, Getty Images",hausa
"Matashin ɗan ƙwallon ƙafa mai shekara 17, Ethan Nwaneri ya zira ƙwallo biyu a wasan da Arsenal ta lallasa Bolton Wanderers  da ci 5-1, nasarar da ta ba ta damar tsallakawa zagaye na huɗu a gasar Carabao Cup.",hausa
Wannan ne karo na farko da aka fara wasa da matashin a matakin babbar ƙungiyar ta Arsenal.,hausa
"Ɗan ƙabilar Ibo ne daga yankin kudancin Najeriya, wanda iyayensa suka haifa a Ingila, wanda yanzu haka yake taka wa tawagar Ingila 'yan ƙasa da shekara 19 leda.",hausa
"Ya taɓa kafa tarihin zama ɗan wasa mafi ƙarancin shekaru da ya taka wa Arsenal leda a gasar Premier League, lokacin da aka sako shi a wasan Arsenal da Brentford a kakar 2022/2023 - lokacin yana ɗan shekara 15 da wata 5 da kwana 38.",hausa
"Da yake jawabi a kan Nwaneri, kocin Arsenal Mikel Arteta ya ce, ""Yana taka leda cikin natsuwa da yarda da kai, sannan ya san me ya kamata ya yi a cikin filin wasa.",hausa
"""Duk lokacin da aka sako shi ya taka leda a babbar ƙungiyar, yana zarce abin da mutane suka yi tsammani. Don haka za mu ci gaba da ba shi dama,"" in ji Arteta.",hausa
"Sauran waɗanda suka ci wa Arsenal ƙwallaye a wasan su ne Rice da Sterling, wanda shi ma wannan ce ƙwallonsa ta farko a Arsenal, sai kuma Kai Havertz.",hausa
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa
'Kuɗin aure zan tara da sabon alawus ɗin NYSC',hausa
Putin ya fitar da sabon sharaɗin amfani da makaman nukiliya,hausa
Ambaliyar ruwa a Turai alama ce ta ɓarnar da sauyin yanayi zai haifar nan gaba,hausa
Me ya sa Najeriya ke son a yafe mata bashin da ake bin ta?,hausa
Shin rikicin siyasa na ƙara ta’azzara matsalar tsaro ne a Zamfara?,hausa
Annobar kwalara ta kashe mutum fiye da 400 a Sudan mai fama da yaƙi,hausa
Hare-haren ƴanbindiga a Sahel sun jefa shugabannin soji cikin zulumi,hausa
Ambaliya na haifar da cikas a harkokin koyo da koyarwar makarantu a Jigawa,hausa
Abin da ya sa nake so gwamnatin Najeriya ta daina biyan tallafin man fetur - Ɗangote,hausa
Har yanzu ambaliyar Maiduguri na hana ni barci - Ma'aikacin BBC,hausa
"Asalin hoton, Reuters",hausa
Kocin Manchester United Erik ten Hag ya ce har da shi cikin waɗanda ya kamata a zarga saboda rashin taɓuka abin kirki a wasa da FC Twente na Europa League ranar Laraba.,hausa
"Christian Eriksen ne ya fara ci wa United ƙwallo a minti na 36 a cikin yadi na 18, kafin daga baya Sam Lammers ya farke ta bayan dawowa daga hutun rabin lokaci kuma wasa ya tashi 1-1.",hausa
"Shi ne wasa na farko da United ta buga a gasar ta zakarun Turai da aka sauya wa fasali, kuma hakan na nufin ƙungiyar wasa ɗaya kacal ta ci cikin tara da ta buga a wasannin zakarun Turai da suka gabata.",hausa
"Da yake magana bayan tashi daga wasan, ɗanwasan tsakiya Eriksen ya ce rawar da suka taka a wasan ""ba ta isa ba"".",hausa
Shi ma mai horarwa Ten Hag ya amince da abin da Eriksen ya faɗa yana mai cewa tabbas Twente sun fi su ƙoƙari kuma har da shi kansa a cikin matsalar.,hausa
"""Sun buga wasan iya ƙarfinsu,"" in ji Ten Hag. ""Sun karaɗe ko'ina da ina amma mu ba haka abin yake ba. Kashi 99 cikin 100 ba mu yi ƙoƙari ba.",hausa
"""A lokuta da dama nakan ji cewa tunanin tawagarmu yana da kyau. Amma a yau [Laraba], ina da magana. Ba wai 'yanwasa ne kawai za su sauya hali ba, ni ma ina ciki. Ba haka ya kamata mu yi ba.",hausa
"""Kun san muna da matsalar jefa ƙwallo a raga, amma ya kamata a ce mun ci wasan nan.""",hausa
"United za ta ziyarci FC Porto a wasanta na gaba a gasar ranar 3 ga watan Oktoba, daga baya kuma ta je gidan Fenerbahçe SK a Turkiyya, wadda tsohon kocinta Jose Mourinho ke jagoranta.",hausa
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa
'Kuɗin aure zan tara da sabon alawus ɗin NYSC',hausa
Putin ya fitar da sabon sharaɗin amfani da makaman nukiliya,hausa
Ambaliyar ruwa a Turai alama ce ta ɓarnar da sauyin yanayi zai haifar nan gaba,hausa
Me ya sa Najeriya ke son a yafe mata bashin da ake bin ta?,hausa
Shin rikicin siyasa na ƙara ta’azzara matsalar tsaro ne a Zamfara?,hausa
Annobar kwalara ta kashe mutum fiye da 400 a Sudan mai fama da yaƙi,hausa
Hare-haren ƴanbindiga a Sahel sun jefa shugabannin soji cikin zulumi,hausa
Ambaliya na haifar da cikas a harkokin koyo da koyarwar makarantu a Jigawa,hausa
Abin da ya sa nake so gwamnatin Najeriya ta daina biyan tallafin man fetur - Ɗangote,hausa
Har yanzu ambaliyar Maiduguri na hana ni barci - Ma'aikacin BBC,hausa
"Asalin hoton, Getty Images",hausa
"Rundunar sojin Najeriya ta sanar da cewa wasu jerin tsararrun samame da dakarunta ke kaiwa a baya bayan nan, sun karkashe gaggan shugabannin ƴan bindiga, waɗanda ke jagorantar munanan hare-hare a garuruwa da dama a sassan yankin arewacin ƙasar.",hausa
"Rahotanni sun nuna cewa matakan da jami'an tsaron ke ɗauka cikin ƴan makwannin nan, sun yi nasarar halaka kimanin gaggan shugabannin ƴan bindiga 15 da suka addabi jama'a da sata don neman biyan kudin fansa, da miyagun hare-hare a jihohin Zamfara da Kaduna da kuma Katsina.",hausa
"Sai dai kuma wata tambaya da ke faman waɗari yanzu, ita ce ko ire-iren waɗannan nasarori za su kai ga samar da mafita mai ɗorewa game da matsalar ta tsaro?",hausa
"Tun bayan kisan da dakarun sojin Najeriya suka yi wa Kacalla Halilu Sububu, a ƴan kwanakin nan an kashe jagororin ƴan bindiga da suka haɗa da Ɗan Gora, da Sani Bulak da Kacalla Makori da Lawwali Gemu a jihar Zamfara.",hausa
"Kuma Mannir Sani Fura-Girke, wani ɗan jarida mai binciken ƙwaƙwaf kan harkokin tsaro, ya ce lissafin gaggan shugabannin ƴan bindigan da aka kashe bai tsaya a nan ba inda a cewarsa kafin waɗannan jerin ƴan bindigan da aka hallaka dakarun sun yi nasarar kawar da wasu da dama, da suka haɗa da Ali Kawaje wanda ake alaƙanta shi da addabar hanyar Kaduna zuwa Abuja.",hausa
‘‘An kashe ƴan bindiga irinsu Sani Ɗangote wanda ke jagorantar hare-hare a yankunan jihar Katsina. Akwai kuma wasu manyan ɓarayin dajin da ba su yi suna ba da aka yi nasarar kashe wa a wannan yankin.’’ In ji shi,hausa
Mannir Sani Fura-Girke ya ƙara da cewa kisan shugabannin ƴan bindigan yana yin tasiri a lamarin tsaro a yankin.,hausa
"Ya ce: ‘‘Wannan ba ƙaramar nasara ba ce domin duk wani kachalla yana da yara aƙalla 100 a ƙarƙashin ikonsa kuma shi ne ya san duk wasu abubuwan da suka shafi hare-haren da ake kaiwa da suka haɗa da safarar makamai, da samun bayanan sirri da sauransu, saboda haka daga an kashe shi sai ka ga dabar tasa ta mutu.’’",hausa
"Akasari masana harkar tsaro kamar su Navy Captain Umar Abubakar Bakori mai ritaya, shugaban ƙungiyar Vigilante na ƙasa baki na Najeriya baki ɗaya na ganin akwai buƙatar a ƙara ƙaimi wurin karfafa wa al’ummar yankunan da abin ya shafa gwiwa wurin bayar da bayanan sirri da za su ci gaba da taimaka wa jami’an tsaro a yaƙin da su ke yi da ƴan bindigar.",hausa
"Ya ce: ''Waɗanda ke bai wa ƴan bindigan nan bayanai talauci ne ya ingiza su, za ka ga abin da ake bai wa mutum ba ya wuce naira 5,000 ko 10,000 amma zai bayar da sirrin da za a kashe maƙwabcinsa. Ya kamata gwamnati ta tabbata ta taimaka masu domin suma su taimaki kansu.''",hausa
"Galibi dai ana ganin matakan murƙushe shugabannin ƴan bindigan da ake bi, wata alama ce ta gano bakin zaren, a ƙoƙarin magance matsalar tsaron da ta addabi yankin arewa maso yammacin Najeriya.",hausa
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa
'Kuɗin aure zan tara da sabon alawus ɗin NYSC',hausa
Putin ya fitar da sabon sharaɗin amfani da makaman nukiliya,hausa
Ambaliyar ruwa a Turai alama ce ta ɓarnar da sauyin yanayi zai haifar nan gaba,hausa
Me ya sa Najeriya ke son a yafe mata bashin da ake bin ta?,hausa
Shin rikicin siyasa na ƙara ta’azzara matsalar tsaro ne a Zamfara?,hausa
Annobar kwalara ta kashe mutum fiye da 400 a Sudan mai fama da yaƙi,hausa
Hare-haren ƴanbindiga a Sahel sun jefa shugabannin soji cikin zulumi,hausa
Ambaliya na haifar da cikas a harkokin koyo da koyarwar makarantu a Jigawa,hausa
Abin da ya sa nake so gwamnatin Najeriya ta daina biyan tallafin man fetur - Ɗangote,hausa
Har yanzu ambaliyar Maiduguri na hana ni barci - Ma'aikacin BBC,hausa
"Asalin hoton, Getty Images",hausa
"Shugaban ƙasar Rasha, Vladimir Putin ya ce Rasha za ta duba yiwuwar ayyana duk wani hari daga ƙasar da ba ta da makamin nukiliya amma ta  samu goyon bayan ƙasar da ke da makamin nukiliya da harin haɗaka, a wani martani da ake yi wa kallon barazana ga amfani da makaman nukiliya a yaƙin da yake yi da Ukraine.",hausa
"A wani jawabinsa na ranar Laraba da daddare, shugaban na Rasha ya ce gwamnatinsa na duba yiwuwar sauya dokokin da ƙa'idoji kan amfani da makamin nukiliya da za su bai wa Rashar damar amfani da makaman.",hausa
Kasar Ukraine dai ba ta da makaman nukuliya amma kuma tana samun tallafin soji daga Amurka da sauran ƙasashe masu ƙarfin nukiliya.,hausa
Kalaman Putin ɗin dai na zuwa ne a daidai lokacin da Ukraine ke neman a sahhale mata yin amfani da makamai masu linzami masu dogon zango ga sansanonin dakarun Rasha.,hausa
"Shugaban Ukraine, Volodomyr Zelensky ya yi tafiya zuwa Amurka a wannan makon kuma zai gana da shugaban Amurkar, Joe Biden a Washinton ranar Alhamis, inda ake tunanin buƙatar Ukraine ɗin za ta kankane tattaunawar.",hausa
Ukraine dai ta ƙara kutsawa zuwa cikin Rasha a wannan shekarar kuma tana son ta kai hare-hare kan wasu wurare a cikin Rashar.,hausa
"Da yake mayar da martani ga kalaman na Putin, shugaban ma'aikatan Volodomyr Zelensky, Andriy Yermak ya ce Rasha ""ba ta da komai sai koƙarin tsorata duniya da batun makamin nukiliya"".",hausa
"Shugaba Putin ya yi barazanar yin amfani da makaman nukiliya a baya. Ukraine ta soki shirin "" ana amfani da barazanar amfani da makaman nukiliya domin tsorata ƙawayenta su tallafa mata da ƙarfin soji.""",hausa
"China wadda kawar Rasha ce ta nemi da ƙasashen biyu su mayar da wuƙarsu, inda rahotanni ke nuna cewa shugaba Xi Jinping na China ya gargaɗi Putin da ya guji amfani da makaman nukiliya.",hausa
"To sai dai kuma a ranar Laraba bayan taron kwamitin tsaro na Majalisar Ɗinkin Duniya, Putin ya sanar da shirinsa na faɗada yaƙin.",hausa
"Za a buɗe sabon babi na makamin nukiliya zai "" fayyace sharuɗɗa da Rasha za ta bi wajen amfani da makaman nukiliya,"" kamar yadda Putin ya yi gargaɗi kuma ya ce yanayin zai kunshi tsarin da duniya ta amince da shi a hare-haren makamai masu linzami a kan Moscow.",hausa
"Ya ce Rasha za ta duba yiwuwar irin wannan ""dama"" na amfani da makaman nukiliya idan har ta fahimci an fara yin amfani da makamai masu linzami da jiragen yaƙi da jirage maras matuƙa a yankunanta, abun da ke matuƙar yin barazana ga ƴancin ƙasar.",hausa
"Ya ƙara da cewa ""duk wata ƙasa da ta taimakawa wata da makamin nukiliya a ka kai wa Rasha hari, to za a ayyana wannan harin da harin haɗin gwiwa a kan tarayyar Rashar.""",hausa
"Makaman nukliya na Rasha sun kasance ""abubuwa mafi muhimmanci wajen tabbatar da tsaron ƙasar da al'umarta"", in ji shugaban na Rasha.",hausa
"Tundai bayan yaƙin duniya na biyu, ƙasashe masu makamin nukiliya suka shiga tattaunawar ganin an taƙaita amfani da makaman bisa tunanin cewa idan ƙasashe suka yi amfani da makaman to za a samu mummunan sakamako daga kowane ɓangare.",hausa
To sai ana samun yanayin da ake amfani da ƙananan makaman nukiliya da aka tanada domin rugurguza wurin da aka hara ba tare da sinadarin makamin ya warwatsu ba.,hausa
"A watan Yuni ne Putin ya gabatar da wani gargaɗi ga ƙasashen Tarayyar Turai da ke tallafa wa Ukraine, inda ya ce Rasha na da ""hanyoyi da dabarun amfani makaman nukiliya fiye da abin da ƙasashen na turai ke da shi ko da ma Amurka za ta kawo nata.""",hausa
"Kakakin Rashar, Dmitri Peskov ya ce ""ana duba yiwuwar sanya wannan sauye-sauye a kundi.""",hausa
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa
'Kuɗin aure zan tara da sabon alawus ɗin NYSC',hausa
Putin ya fitar da sabon sharaɗin amfani da makaman nukiliya,hausa
Ambaliyar ruwa a Turai alama ce ta ɓarnar da sauyin yanayi zai haifar nan gaba,hausa
Me ya sa Najeriya ke son a yafe mata bashin da ake bin ta?,hausa
Shin rikicin siyasa na ƙara ta’azzara matsalar tsaro ne a Zamfara?,hausa
Annobar kwalara ta kashe mutum fiye da 400 a Sudan mai fama da yaƙi,hausa
Hare-haren ƴanbindiga a Sahel sun jefa shugabannin soji cikin zulumi,hausa
Ambaliya na haifar da cikas a harkokin koyo da koyarwar makarantu a Jigawa,hausa
Abin da ya sa nake so gwamnatin Najeriya ta daina biyan tallafin man fetur - Ɗangote,hausa
Har yanzu ambaliyar Maiduguri na hana ni barci - Ma'aikacin BBC,hausa
